서울특별시 광진구 자양제1동(1121582000),22530,22530,950,1486,4368,3721,3349,3593,2859,1514,618,71,1,10868,10868,462,779,2069,1864,1680,1749,1349,640,256,20,0,11662,11662,488,707,2299,1857,1669,1844,1510,874,362,51,1
서울특별시 광진구 자양제2동(1121583000),25239,25239,1587,1826,3774,3851,3968,4192,3696,1660,596,85,4,12271,12271,809,972,1848,1901,1951,1991,1773,782,220,23,1,12968,12968,778,854,1926,1950,2017,2201,1923,878,376,62,3
서울특별시 광진구 자양제3동(1121584000),28485,28485,2268,2615,3873,4269,4564,4680,3583,1633,874,121,5,13650,13650,1126,1274,1917,2007,2172,2230,1783,746,348,46,1,14835,14835,1142,1341,1956,2262,2392,2450,1800,887,526,75,4
서울특별시 광진구 자양제4동(1121584700),17519,17519,678,858,2733,2566,2393,3028,2990,1589,612,70,2,8745,8745,335,418,1346,1392,1248,1602,1435,720,232,16,1,8774,8774,343,440,1387,1174,1145,1426,1555,869,380,54,1
서울특별시 광진구 구의제1동(1121585000),21859,21859,810,1145,4783,4288,3181,3129,2476,1391,578,63,15,10439,10439,416,567,2185,2148,1595,1518,1150,616,223,19,2,11420,11420,394,578,2598,2140,1586,1611,1326,775,355,44,13
서울특별시 광진구 구의제2동(1121586000),26604,26604,1693,2340,3702,3780,4263,4509,3557,1910,759,87,4,12833,12833,855,1184,1834,1890,2077,2166,1625,888,290,23,1,13771,13771,838,1156,1868,1890,2186,2343,1932,1022,469,64,3
서울특별시 광진구 구의제3동(1121587000),29035,29035,1819,2506,4642,4634,4481,4832,3558,1707,742,109,5,13788,13788,899,1253,2155,2261,2061,2317,1704,817,283,36,2,15247,15247,920,1253,2487,2373,2420,2515,1854,890,459,73,3
서울특별시 동대문구 (1123000000),338480,338480,20127,23424,56144,49476,49710,52522,46548,27505,11533,1414,77,167643,167643,10331,11838,27753,25515,25679,26604,22537,12452,4523,390,21,170837,170837,9796,11586,28391,23961,24031,25918,24011,15053,7010,1024,56
서울특별시 동대문구 용신동(1123053600),30974,30974,1230,1400,6206,5424,4130,4632,4176,2517,1124,130,5,15687,15687,630,722,2922,2814,2270,2498,2158,1177,458,37,1,15287,15287,600,678,3284,2610,1860,2134,2018,1340,666,93,4
서울특별시 동대문구 제기동(1123054500),24690,24690,1004,1379,4405,3204,3045,3806,3935,2584,1179,139,10,12669,12669,520,721,2391,1776,1668,2032,1898,1171,453,38,1,12021,12021,484,658,2014,1428,1377,1774,2037,1413,726,101,9
서울특별시 동대문구 전농제1동(1123056000),29453,29453,1829,1868,4590,4210,4241,4852,4211,2457,1075,112,8,14800,14800,950,917,2342,2154,2257,2504,2127,1111,413,24,1,14653,14653,879,951,2248,2056,1984,2348,2084,1346,662,88,7
서울특별시 동대문구 전농제2동(1123057000),18886,18886,1201,1716,2293,2242,3034,3234,2755,1566,766,76,3,9096,9096,610,837,1175,1141,1462,1579,1275,657,333,26,1,9790,9790,591,879,1118,1101,1572,1655,1480,909,433,50,2
서울특별시 동대문구 답십리제1동(1123060000),29065,29065,2689,1998,4140,5298,4734,4222,3317,1775,792,92,8,14074,14074,1364,1022,1904,2503,2468,2070,1614,802,297,27,3,14991,14991,1325,976,2236,2795,2266,2152,1703,973,495,65,5
서울특별시 동대문구 답십리제2동(1123061000),28785,28785,1800,1948,3742,4444,4132,4878,4246,2461,1013,118,3,14009,14009,905,967,1871,2271,2092,2391,2005,1112,370,24,1,14776,14776,895,981,1871,2173,2040,2487,2241,1349,643,94,2
